product_id,product_name,category,region,priority,price,user_id,final_price
1,Stapler,Stationery,West,Medium,47.0,2542,55.459999999999994
3,Sweater,Clothing,North,Low,4714.0,3028,5562.5199999999995
5,Desk,Furniture,Central,High,20479.0,9858,24165.219999999998
6,Charger,Electronics,East,Medium,24888.0,4078,29367.84
8,Stool,Furniture,Central,Low,22087.0,8424,26062.66
9,Folder,Stationery,South,Medium,367.0,2341,433.06
10,Net,Sports,Central,Low,5777.0,5717,6816.86
11,Ball,Sports,North,Medium,2852.0,3490,3365.3599999999997
12,Sweater,Clothing,North,High,835.0,6140,985.3
13,Glue,Stationery,Central,Low,418.0,2533,493.23999999999995
14,Eraser,Stationery,North,Low,369.0,8301,435.41999999999996
15,Scissors,Stationery,East,Low,246.0,2918,290.28
16,T-Shirt,Clothing,South,Medium,1259.0,7519,1485.62
17,Scarf,Clothing,North,Low,3490.0,3243,4118.2
18,Belt,Clothing,East,Medium,3139.0,7233,3704.02
19,Sofa,Furniture,North,Low,16701.0,1197,19707.18
20,Gloves,Clothing,South,Low,233.0,9758,274.94
21,Highlighter,Stationery,Central,Low,74.0,9445,87.32
22,Bat,Sports,West,High,6578.0,7457,7762.04
23,Mouse,Electronics,West,Low,10027.0,8219,11831.859999999999
26,Bench,Furniture,West,Low,18031.0,6966,21276.579999999998
27,Jeans,Clothing,North,High,4017.0,6109,4740.0599999999995
28,Monitor,Electronics,North,Medium,35902.0,3645,42364.36
29,Bat,Sports,South,High,8804.0,9899,10388.72
30,Speaker,Electronics,East,High,13128.0,5278,15491.039999999999
31,Dumbbell,Sports,South,Low,3800.0,9236,4484.0
32,Marker,Stationery,Central,High,398.0,4922,469.64
33,Shoes,Clothing,South,Medium,3112.0,1457,3672.16
34,Eraser,Stationery,East,Low,319.0,8327,376.41999999999996
35,Glue,Stationery,North,Low,126.0,6533,148.67999999999998
36,Stool,Furniture,Central,High,41494.0,8855,48962.92
37,Pen,Stationery,North,High,410.0,4265,483.79999999999995
38,Jacket,Clothing,West,Medium,2923.0,7485,3449.14
39,Sweater,Clothing,North,Medium,1592.0,1451,1878.56
40,Bench,Furniture,West,High,11079.0,8771,13073.22
42,Speaker,Electronics,South,Low,26733.0,4457,31544.94
43,Camera,Electronics,South,Low,32727.0,6341,38617.86
44,Ruler,Stationery,West,High,41.0,6796,48.379999999999995
45,Gloves,Clothing,Central,Low,4309.0,3487,5084.62
46,Football,Sports,North,High,3150.0,3454,3717.0
47,Sofa,Furniture,West,Medium,9386.0,6340,11075.48
48,Football,Sports,Central,Low,1888.0,1930,2227.8399999999997
49,Bookshelf,Furniture,East,Low,7905.0,1456,9327.9
50,Mouse,Electronics,East,Medium,67463.0,4267,79606.34
51,Eraser,Stationery,Central,Medium,254.0,5057,299.71999999999997
52,Net,Sports,Central,High,3469.0,3246,4093.4199999999996
53,Jeans,Clothing,West,Low,794.0,8017,936.92
54,Headphones,Electronics,East,Medium,21443.0,6999,25302.739999999998
55,Lamp,Furniture,South,High,15890.0,2542,18750.2
56,Scarf,Clothing,South,High,2032.0,8070,2397.7599999999998
57,Yoga Mat,Sports,East,Low,5992.0,6995,7070.5599999999995
58,Tablet,Electronics,Central,Low,3570.0,9477,4212.599999999999
59,Net,Sports,Central,High,1998.0,4744,2357.64
60,Phone,Electronics,East,Low,24996.0,3122,29495.28
61,Cap,Clothing,West,Low,4417.0,6358,5212.0599999999995
62,Camera,Electronics,North,Medium,25231.0,2186,29772.579999999998
63,Notebook,Stationery,North,High,52.0,4643,61.36
64,Camera,Electronics,North,Low,45653.0,7844,53870.53999999999
65,Highlighter,Stationery,South,Low,373.0,2793,440.14
66,Lamp,Furniture,North,Low,21946.0,9701,25896.28
67,Lamp,Furniture,West,Medium,13158.0,1297,15526.439999999999
68,Notebook,Stationery,North,Low,268.0,4104,316.24
69,Skipping Rope,Sports,South,High,1891.0,8080,2231.38
70,Belt,Clothing,West,High,2721.0,4761,3210.7799999999997
71,Marker,Stationery,South,Low,187.0,3126,220.66
72,Phone,Electronics,East,Low,8461.0,7240,9983.98
74,Sofa,Furniture,East,Low,18751.0,6389,22126.18
75,Dumbbell,Sports,South,Low,5221.0,3997,6160.78
76,Tablet,Electronics,West,Low,37759.0,4292,44555.619999999995
77,Wardrobe,Furniture,North,Low,7382.0,1682,8710.76
78,T-Shirt,Clothing,East,Low,2107.0,9670,2486.2599999999998
79,Bench,Furniture,West,Medium,48730.0,3448,57501.399999999994
80,Highlighter,Stationery,South,Low,437.0,9404,515.66
81,Belt,Clothing,South,High,4331.0,1263,5110.58
82,Helmet,Sports,North,Low,2330.0,2718,2749.3999999999996
83,Scarf,Clothing,Central,Low,354.0,5006,417.71999999999997
84,Cap,Clothing,North,Low,774.0,9240,913.3199999999999
85,Ball,Sports,Central,Low,7913.0,2219,9337.34
86,Marker,Stationery,South,Low,342.0,9092,403.56
87,Jeans,Clothing,West,High,2553.0,4248,3012.54
88,Charger,Electronics,South,Low,41100.0,3186,48498.0
89,Mouse,Electronics,North,Low,14244.0,9021,16807.92
90,Ruler,Stationery,East,Low,248.0,9996,292.64
91,Lamp,Furniture,North,High,2647.0,2252,3123.46
93,Monitor,Electronics,Central,Low,48327.0,9335,57025.86
94,Pen,Stationery,East,Low,469.0,7456,553.42
95,Monitor,Electronics,North,High,60282.0,3305,71132.76
97,Scissors,Stationery,North,High,110.0,5748,129.79999999999998
98,Glue,Stationery,North,Low,455.0,6909,536.9
99,Cap,Clothing,North,Low,622.0,5679,733.9599999999999
100,Bookshelf,Furniture,East,Low,22183.0,7116,26175.94
101,T-Shirt,Clothing,West,High,4739.0,2320,5592.0199999999995
102,Keyboard,Electronics,West,Medium,19362.0,5689,22847.16
103,T-Shirt,Clothing,Central,Low,4068.0,5616,4800.24
104,Folder,Stationery,East,Low,132.0,7461,155.76
105,Monitor,Electronics,South,Low,66815.0,9144,78841.7
106,Helmet,Sports,West,High,7522.0,9974,8875.96
107,Bookshelf,Furniture,North,Low,37929.0,4917,44756.22
108,Folder,Stationery,Central,Low,20.0,7763,23.599999999999998
109,Sweater,Clothing,Central,Low,2413.0,2016,2847.3399999999997
110,Cap,Clothing,Central,High,1231.0,9670,1452.58
111,Chair,Furniture,East,High,26702.0,8304,31508.359999999997
112,Cap,Clothing,North,Low,3683.0,8754,4345.94
113,Skipping Rope,Sports,North,Low,8798.0,8355,10381.64
